Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,Over18,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
18,No,Travel_Rarely,1044,Sales,15,5,Other,1,145,3,Female,68,3,5,Research Scientist,2,Single,13868,13773,3,Yes,Y,11,3,3,2,28,1,4,1,4,5,14
41,No,Travel_Rarely,896,Sales,24,3,Human Resources,1,146,3,Male,85,4,3,Manufacturing Director,1,Married,14137,19104,8,Yes,Y,21,3,2,2,32,3,1,18,8,7,0
48,Yes,Travel_Rarely,304,Research & Development,5,3,Technical Degree,1,147,3,Male,53,4,4,Manager,2,Married,3525,13666,2,No,Y,24,3,1,3,39,5,2,8,1,3,14
59,No,Travel_Frequently,1074,Research & Development,25,5,Other,1,148,3,Female,74,3,4,Healthcare Representative,1,Divorced,2052,19237,7,No,Y,12,4,4,1,6,1,3,6,1,0,5
47,No,Travel_Rarely,770,Research & Development,22,3,Human Resources,1,149,1,Female,41,2,2,Research Scientist,1,Divorced,19163,3540,5,Yes,Y,11,3,2,0,3,3,2,14,7,4,6
30,No,Non-Travel,762,Research & Development,25,5,Technical Degree,1,150,2,Male,38,1,1,Research Scientist,3,Married,12842,17614,9,No,Y,11,3,3,0,39,4,4,14,12,8,13
36,No,Travel_Rarely,940,Human Resources,24,3,Marketing,1,151,4,Male,54,2,4,Human Resources,3,Single,13289,22237,2,Yes,Y,20,3,1,2,19,5,4,6,14,2,5
59,No,Travel_Rarely,1483,Sales,12,4,Technical Degree,1,152,1,Male,98,2,1,Manager,4,Divorced,11000,7955,0,No,Y,14,3,3,0,10,1,4,4,1,6,7
42,No,Non-Travel,840,Sales,10,1,Life Sciences,1,153,1,Male,97,1,3,Manager,4,Married,16712,27577,6,No,Y,11,3,3,3,0,6,3,0,7,4,11
24,No,Non-Travel,467,Research & Development,20,2,Medical,1,154,2,Male,70,3,4,Manager,2,Divorced,15979,27395,8,Yes,Y,10,3,3,3,28,0,3,18,6,3,9
56,No,Non-Travel,797,Human Resources,4,1,Human Resources,1,155,2,Male,38,1,2,Manufacturing Director,4,Married,13709,7919,6,No,Y,14,3,2,1,27,1,4,15,4,6,4
31,No,Non-Travel,202,Sales,17,2,Human Resources,1,156,1,Male,83,3,4,Sales Executive,2,Divorced,9657,5100,5,No,Y,11,3,4,0,23,5,4,0,2,3,11
42,No,Non-Travel,880,Human Resources,7,2,Life Sciences,1,157,2,Female,94,2,5,Laboratory Technician,1,Divorced,18329,14285,2,No,Y,20,3,2,3,11,2,1,11,13,6,10
24,No,Non-Travel,860,Sales,1,2,Marketing,1,158,4,Female,82,2,2,Manager,2,Divorced,12545,4343,2,Yes,Y,18,3,4,3,24,3,1,19,5,9,10
39,No,Non-Travel,264,Research & Development,12,1,Marketing,1,159,4,Male,43,3,3,Manufacturing Director,4,Married,2965,6566,3,No,Y,11,3,1,0,7,1,4,12,12,5,9
58,No,Travel_Frequently,1230,Sales,15,4,Medical,1,160,1,Male,32,1,4,Laboratory Technician,2,Single,3699,26972,0,No,Y,22,4,2,3,29,2,4,14,6,1,14
43,Yes,Travel_Frequently,104,Sales,3,1,Human Resources,1,161,1,Female,93,4,5,Research Scientist,3,Single,6402,3422,3,No,Y,24,3,4,0,30,6,4,9,0,0,10
34,No,Travel_Frequently,102,Sales,13,2,Human Resources,1,162,1,Male,69,3,3,Manufacturing Director,3,Single,4624,4061,4,No,Y,14,3,1,2,11,3,4,18,4,9,0
26,No,Travel_Frequently,525,Research & Development,8,3,Other,1,163,1,Female,65,1,2,Sales Executive,3,Divorced,18642,24738,6,No,Y,22,3,3,1,20,6,2,3,6,7,9
32,Yes,Non-Travel,1077,Human Resources,11,3,Human Resources,1,164,3,Female,64,3,3,Research Scientist,1,Married,7823,12568,4,No,Y,16,3,2,1,3,0,4,2,7,8,8
18,No,Travel_Rarely,632,Research & Development,2,3,Medical,1,165,1,Male,83,3,3,Healthcare Representative,2,Married,4506,9048,0,No,Y,16,3,4,0,3,6,3,6,11,4,1
32,Yes,Travel_Frequently,458,Sales,3,2,Medical,1,166,2,Female,95,1,2,Research Scientist,1,Single,17380,10540,5,No,Y,21,3,4,3,0,6,1,13,11,0,5
34,No,Travel_Rarely,1399,Research & Development,17,1,Medical,1,167,1,Female,32,4,2,Sales Executive,1,Married,18195,11159,7,No,Y,23,3,2,0,25,3,1,8,11,5,11
52,No,Non-Travel,787,Research & Development,11,1,Life Sciences,1,168,1,Female,48,4,4,Human Resources,3,Divorced,3298,5522,5,No,Y,16,4,2,3,33,6,3,17,10,6,2
36,No,Non-Travel,934,Sales,19,3,Marketing,1,169,2,Male,57,3,4,Sales Executive,2,Divorced,14215,9266,3,Yes,Y,16,3,2,0,6,1,4,2,7,5,10
53,No,Travel_Frequently,1021,Sales,12,4,Other,1,170,4,Male,74,4,4,Human Resources,2,Single,17109,22123,7,No,Y,16,3,2,0,2,4,3,9,14,5,2
32,No,Non-Travel,1209,Sales,11,5,Marketing,1,171,1,Female,47,2,5,Human Resources,1,Single,16880,14172,2,No,Y,13,3,4,1,7,4,3,18,9,3,2
21,No,Travel_Frequently,1115,Sales,19,5,Human Resources,1,172,1,Male,52,2,3,Laboratory Technician,1,Single,2525,14092,3,Yes,Y,16,3,4,3,2,5,1,13,7,9,7
35,No,Travel_Rarely,307,Sales,17,2,Other,1,173,3,Female,38,1,5,Human Resources,3,Single,13318,9816,7,No,Y,22,3,3,0,27,2,3,6,1,8,9
48,No,Non-Travel,1369,Human Resources,10,4,Life Sciences,1,174,3,Male,31,1,4,Healthcare Representative,2,Married,6430,20300,6,Yes,Y,23,3,4,2,22,3,1,13,8,2,5
50,No,Non-Travel,969,Research & Development,7,2,Medical,1,175,3,Female,36,3,4,Healthcare Representative,1,Divorced,16753,10747,0,No,Y,19,3,4,3,5,1,4,11,1,5,12
27,No,Travel_Rarely,1140,Human Resources,21,5,Medical,1,176,2,Female,30,1,3,Manufacturing Director,1,Married,8634,29248,3,Yes,Y,17,3,3,0,31,0,4,12,12,6,7
51,No,Travel_Rarely,579,Research & Development,11,1,Medical,1,177,1,Male,92,4,1,Human Resources,4,Divorced,2069,15691,2,No,Y,12,3,2,1,33,2,2,10,7,7,13
53,No,Travel_Rarely,519,Sales,11,1,Medical,1,178,3,Female,69,2,1,Manager,4,Single,17113,19301,8,Yes,Y,18,3,4,3,24,4,2,0,9,9,7
23,Yes,Non-Travel,922,Research & Development,16,1,Life Sciences,1,179,4,Male,58,3,1,Laboratory Technician,1,Divorced,4349,26857,6,Yes,Y,11,3,1,0,5,2,2,13,4,9,12
30,No,Non-Travel,1181,Research & Development,7,3,Other,1,180,4,Male,51,1,3,Human Resources,4,Married,17339,28820,7,Yes,Y,11,3,3,2,9,2,4,7,2,9,3
19,No,Non-Travel,795,Sales,23,4,Technical Degree,1,181,1,Male,32,3,4,Healthcare Representative,2,Divorced,2289,4634,9,No,Y,13,3,2,1,30,6,3,6,13,8,13
45,No,Non-Travel,1471,Human Resources,10,3,Life Sciences,1,182,3,Female,31,4,3,Laboratory Technician,4,Divorced,7631,10777,2,Yes,Y,15,3,4,1,15,5,2,13,1,9,1
46,Yes,Travel_Rarely,655,Human Resources,23,1,Medical,1,183,1,Male,30,2,5,Human Resources,1,Single,14148,19748,6,Yes,Y,16,3,2,2,12,0,4,1,7,3,11
44,No,Travel_Rarely,1498,Research & Development,24,5,Medical,1,184,2,Female,82,3,3,Research Scientist,3,Divorced,12826,14314,3,No,Y,23,3,1,3,19,5,3,6,4,7,2
30,No,Travel_Frequently,930,Sales,26,3,Technical Degree,1,185,4,Male,97,4,5,Manager,4,Single,2514,13529,2,No,Y,14,4,1,0,28,5,4,12,6,2,11
35,No,Travel_Frequently,132,Human Resources,19,5,Human Resources,1,186,4,Female,72,2,4,Human Resources,1,Single,7136,19257,1,No,Y,23,3,4,0,36,4,1,8,5,5,3
28,No,Non-Travel,1412,Sales,3,1,Life Sciences,1,187,4,Male,55,1,5,Laboratory Technician,3,Married,3516,27272,0,Yes,Y,12,3,4,0,28,3,4,15,12,5,14
26,No,Travel_Frequently,421,Sales,20,1,Technical Degree,1,188,2,Female,47,2,1,Healthcare Representative,3,Single,3506,2466,8,Yes,Y,10,3,1,1,1,4,1,5,8,9,2
57,No,Travel_Rarely,271,Sales,22,2,Other,1,189,4,Female,84,1,1,Research Scientist,4,Divorced,13599,18717,0,Yes,Y,17,3,1,1,32,5,2,14,5,1,7
23,No,Non-Travel,1076,Human Resources,24,5,Life Sciences,1,190,4,Female,89,3,3,Healthcare Representative,2,Single,16621,18703,4,Yes,Y,22,3,3,0,25,4,2,0,12,4,7
59,No,Travel_Rarely,1059,Research & Development,23,1,Marketing,1,191,3,Male,92,3,5,Research Scientist,3,Divorced,8492,6809,5,No,Y,21,3,1,1,28,1,4,6,0,0,11
59,No,Travel_Frequently,1422,Research & Development,10,4,Other,1,192,3,Male,63,1,1,Laboratory Technician,3,Divorced,6110,12541,7,Yes,Y,14,3,2,1,8,5,4,2,3,6,0
51,No,Non-Travel,1047,Research & Development,10,4,Life Sciences,1,193,3,Female,84,3,3,Manager,1,Single,12324,2883,6,No,Y,20,3,3,1,38,4,1,10,10,8,14
27,No,Travel_Rarely,619,Research & Development,24,4,Technical Degree,1,194,1,Female,31,4,1,Manufacturing Director,4,Single,18672,29064,4,No,Y,11,3,3,2,16,1,2,8,8,6,3
22,No,Travel_Frequently,1307,Sales,23,1,Life Sciences,1,195,1,Male,40,3,1,Research Scientist,2,Married,18319,28476,7,Yes,Y,16,3,1,2,31,5,3,16,8,0,10
25,No,Non-Travel,992,Research & Development,25,4,Other,1,196,2,Male,51,2,5,Human Resources,2,Single,3076,26475,4,No,Y,17,3,3,0,29,4,4,16,2,2,5
33,Yes,Non-Travel,1007,Research & Development,16,2,Life Sciences,1,197,1,Female,84,3,1,Sales Executive,2,Married,8224,16967,9,No,Y,13,3,4,2,18,0,2,18,5,2,9
46,No,Travel_Frequently,960,Sales,1,5,Technical Degree,1,198,4,Female,33,2,3,Research Scientist,3,Single,11407,10160,2,Yes,Y,23,3,2,2,9,0,1,15,1,8,9
41,No,Travel_Frequently,1149,Human Resources,18,4,Technical Degree,1,199,2,Male,32,1,2,Human Resources,4,Divorced,4231,27618,3,No,Y,10,3,4,0,38,2,4,16,6,4,1
56,No,Non-Travel,1099,Human Resources,12,2,Marketing,1,200,1,Male,37,3,3,Manufacturing Director,1,Married,14707,28168,4,No,Y,24,3,4,1,26,6,3,17,0,5,14
47,Yes,Travel_Frequently,908,Research & Development,1,2,Medical,1,201,3,Female,89,1,4,Human Resources,1,Married,16927,16722,9,Yes,Y,24,3,1,1,39,4,2,11,8,6,2
57,No,Travel_Rarely,1060,Research & Development,4,4,Life Sciences,1,202,4,Female,33,1,1,Healthcare Representative,3,Married,5991,26821,0,Yes,Y,23,3,4,2,21,2,4,10,5,8,13
42,No,Travel_Frequently,502,Sales,28,5,Medical,1,203,1,Female,66,1,5,Laboratory Technician,4,Single,6017,24376,3,Yes,Y,12,3,3,0,7,2,2,16,10,3,2
55,No,Travel_Frequently,1182,Sales,25,4,Life Sciences,1,204,3,Male,82,4,4,Human Resources,3,Married,9754,27879,8,Yes,Y,14,3,1,1,3,4,4,8,2,2,6
23,No,Travel_Frequently,947,Research & Development,8,3,Human Resources,1,205,4,Male,84,4,5,Manager,1,Divorced,3170,27803,9,No,Y,16,3,1,0,30,5,4,3,8,7,7
18,No,Travel_Rarely,147,Sales,25,1,Human Resources,1,206,4,Female,57,3,2,Human Resources,1,Married,8096,5458,8,No,Y,16,3,4,2,3,4,1,0,0,3,7
56,No,Travel_Rarely,694,Sales,27,4,Human Resources,1,207,4,Female,58,1,1,Healthcare Representative,1,Divorced,4807,12560,5,No,Y,22,3,3,0,4,4,1,0,7,9,11
27,No,Travel_Rarely,1280,Research & Development,24,4,Human Resources,1,208,2,Female,36,2,3,Manager,2,Divorced,4052,14170,1,Yes,Y,15,4,3,0,16,5,1,6,14,4,4
45,No,Travel_Frequently,713,Sales,4,2,Technical Degree,1,209,4,Female,91,2,3,Human Resources,3,Divorced,5345,17129,8,No,Y,17,3,3,0,32,4,2,18,6,0,11
33,Yes,Travel_Frequently,252,Sales,6,1,Medical,1,210,3,Male,60,1,2,Manager,1,Divorced,8369,4736,6,Yes,Y,14,3,1,0,5,6,3,19,2,3,10
27,No,Travel_Frequently,744,Human Resources,13,2,Marketing,1,211,4,Female,68,1,4,Laboratory Technician,2,Divorced,17809,29387,9,Yes,Y,20,3,2,1,7,6,1,0,3,4,4
56,No,Travel_Rarely,409,Human Resources,6,2,Human Resources,1,212,2,Male,58,2,2,Research Scientist,1,Married,4309,4149,0,No,Y,17,4,4,1,10,1,3,8,14,7,12
44,No,Travel_Frequently,934,Research & Development,13,3,Medical,1,213,2,Female,92,2,3,Healthcare Representative,2,Single,8619,14872,3,No,Y,15,4,1,1,7,1,4,3,5,8,8
18,No,Travel_Frequently,596,Sales,11,2,Medical,1,214,3,Male,34,2,4,Research Scientist,2,Single,10615,6435,9,Yes,Y,16,3,4,0,38,4,3,11,2,7,1
21,No,Travel_Frequently,231,Human Resources,8,2,Technical Degree,1,215,1,Female,40,3,4,Human Resources,1,Divorced,11418,14793,3,Yes,Y,10,4,2,2,17,5,2,19,12,2,1
33,Yes,Travel_Rarely,687,Human Resources,5,5,Human Resources,1,216,3,Male,57,4,1,Research Scientist,1,Single,17893,21048,7,Yes,Y,11,3,2,2,3,6,4,15,3,1,6
57,Yes,Non-Travel,557,Human Resources,3,4,Other,1,217,3,Female,77,1,2,Laboratory Technician,1,Married,7113,26221,7,Yes,Y,20,3,3,0,29,0,1,1,2,8,0
22,No,Travel_Frequently,386,Sales,4,1,Human Resources,1,218,1,Female,33,2,5,Manufacturing Director,4,Married,2150,2105,0,No,Y,21,4,1,2,23,5,1,4,11,4,5
36,No,Travel_Rarely,292,Research & Development,6,3,Other,1,219,3,Male,89,4,4,Manager,3,Married,6523,29355,2,Yes,Y,20,3,1,3,25,0,2,14,5,9,12
55,No,Travel_Rarely,254,Research & Development,21,3,Medical,1,220,2,Female,99,4,3,Sales Executive,1,Divorced,15681,17139,3,Yes,Y,19,3,2,1,39,6,1,18,12,6,2
38,No,Travel_Rarely,898,Sales,4,4,Technical Degree,1,221,2,Female,89,4,3,Manager,1,Divorced,2831,6467,7,Yes,Y,23,3,3,3,28,5,2,17,1,7,9
35,Yes,Travel_Rarely,843,Sales,17,2,Human Resources,1,222,2,Male,68,4,4,Laboratory Technician,1,Divorced,12478,25026,3,No,Y,21,4,4,3,38,0,3,2,1,6,6
29,Yes,Non-Travel,1033,Research & Development,24,2,Technical Degree,1,223,1,Female,66,1,4,Manager,4,Married,17431,14023,3,No,Y,17,3,2,2,34,4,4,18,7,8,1
35,Yes,Non-Travel,236,Research & Development,3,5,Life Sciences,1,224,2,Male,94,3,4,Research Scientist,3,Single,14866,6245,5,Yes,Y,13,3,3,3,29,0,2,5,7,4,3
21,No,Non-Travel,283,Human Resources,24,2,Marketing,1,225,1,Male,84,3,4,Laboratory Technician,3,Divorced,8506,26087,2,Yes,Y,10,4,3,2,31,2,1,6,7,2,3
35,No,Non-Travel,414,Sales,22,1,Other,1,226,1,Female,74,4,1,Manufacturing Director,3,Divorced,16923,6546,5,No,Y,11,3,3,1,27,4,3,4,8,0,9
39,Yes,Travel_Frequently,648,Human Resources,26,2,Technical Degree,1,227,1,Male,94,4,5,Laboratory Technician,2,Single,3430,17574,8,Yes,Y,15,3,2,0,37,2,2,3,7,9,6
25,No,Non-Travel,1246,Research & Development,26,4,Marketing,1,228,4,Female,73,3,4,Manufacturing Director,1,Married,8314,20958,5,Yes,Y,16,3,1,1,11,0,2,4,14,1,9
42,Yes,Travel_Rarely,1363,Research & Development,10,4,Other,1,229,4,Female,82,2,2,Research Scientist,1,Single,3768,27412,3,Yes,Y,15,3,4,2,15,5,4,3,10,5,4
36,No,Travel_Rarely,1351,Sales,16,5,Marketing,1,230,2,Female,99,3,1,Manufacturing Director,4,Divorced,7992,25089,0,No,Y,24,3,4,0,31,1,1,14,11,2,11
53,No,Non-Travel,516,Human Resources,3,5,Technical Degree,1,231,2,Male,89,3,4,Laboratory Technician,2,Married,9533,17165,3,No,Y,15,3,2,3,0,1,4,9,7,9,14
54,No,Travel_Rarely,1161,Sales,4,2,Life Sciences,1,232,3,Female,59,2,2,Healthcare Representative,4,Single,11503,20619,2,Yes,Y,14,3,4,2,28,0,2,2,13,0,2
51,No,Travel_Frequently,957,Research & Development,25,3,Medical,1,233,2,Male,93,2,1,Sales Executive,1,Single,3334,11340,1,Yes,Y,22,3,4,3,22,3,3,1,6,2,0
55,No,Travel_Frequently,1269,Human Resources,6,3,Other,1,234,2,Male,60,3,2,Healthcare Representative,2,Married,10561,17352,3,No,Y,20,3,2,1,27,0,3,8,5,6,2
58,Yes,Travel_Rarely,606,Human Resources,3,1,Marketing,1,235,3,Male,81,1,3,Laboratory Technician,3,Divorced,16527,14797,0,Yes,Y,22,3,2,1,17,4,2,2,10,0,4
43,No,Non-Travel,1147,Research & Development,23,5,Other,1,236,1,Female,84,4,4,Sales Executive,1,Divorced,8001,18520,2,Yes,Y,22,3,3,0,31,5,4,8,2,3,5
44,No,Travel_Frequently,526,Human Resources,11,4,Medical,1,237,3,Female,84,3,1,Manufacturing Director,1,Married,8236,2847,1,No,Y,21,3,2,0,37,2,3,11,12,7,3
49,No,Travel_Rarely,1218,Research & Development,13,2,Life Sciences,1,238,4,Female,35,4,5,Manufacturing Director,2,Single,10890,3710,3,No,Y,10,3,1,3,3,1,3,2,6,9,8
52,No,Non-Travel,916,Sales,17,3,Medical,1,239,1,Female,96,3,4,Research Scientist,4,Married,2929,5640,7,No,Y,20,3,1,1,1,6,2,1,7,4,10
44,No,Travel_Rarely,802,Sales,18,3,Human Resources,1,240,1,Male,31,4,4,Human Resources,1,Single,3423,20521,8,No,Y,21,4,3,3,30,2,2,1,4,4,9
51,No,Travel_Frequently,1386,Human Resources,10,4,Life Sciences,1,241,4,Female,88,3,2,Human Resources,3,Married,13709,16826,2,No,Y,15,3,3,0,5,1,2,12,1,6,14
37,No,Travel_Rarely,161,Sales,18,3,Other,1,242,1,Female,66,3,4,Laboratory Technician,3,Divorced,12921,13742,7,Yes,Y,11,3,3,0,11,4,1,10,10,8,4
56,No,Travel_Rarely,421,Research & Development,11,2,Technical Degree,1,243,3,Female,50,4,1,Manager,1,Single,14485,13608,3,No,Y,24,3,2,3,0,4,2,5,10,1,9
58,Yes,Travel_Frequently,1496,Human Resources,6,4,Medical,1,244,1,Male,89,2,4,Human Resources,4,Married,8869,14156,9,No,Y,15,3,3,2,2,6,4,7,5,9,4
40,No,Travel_Rarely,183,Research & Development,12,5,Life Sciences,1,245,3,Female,47,3,4,Human Resources,1,Married,5002,18384,8,No,Y,13,3,2,2,14,0,4,5,12,3,8
23,Yes,Non-Travel,180,Human Resources,12,1,Life Sciences,1,246,3,Male,99,2,3,Human Resources,3,Divorced,5938,25024,4,Yes,Y,17,3,1,3,25,3,1,9,4,9,6
22,No,Travel_Frequently,423,Human Resources,10,3,Medical,1,247,1,Male,94,3,5,Research Scientist,2,Married,7803,18964,7,Yes,Y,20,3,4,3,4,5,3,19,14,6,1
40,Yes,Travel_Rarely,969,Sales,28,1,Medical,1,248,3,Female,41,4,4,Human Resources,1,Single,12353,23017,6,Yes,Y,22,3,1,0,17,4,3,0,2,1,14
22,No,Non-Travel,819,Sales,1,3,Medical,1,249,3,Female,95,3,2,Manager,4,Single,2122,22430,9,No,Y,12,3,2,3,34,4,4,17,10,6,3
59,Yes,Travel_Rarely,1010,Research & Development,20,2,Life Sciences,1,250,1,Male,66,1,1,Laboratory Technician,2,Divorced,7031,29138,7,No,Y,16,3,2,3,32,2,3,17,11,6,3
32,No,Travel_Frequently,1443,Sales,13,2,Medical,1,251,2,Male,36,2,2,Research Scientist,2,Married,17389,15823,0,No,Y,22,3,3,1,17,3,3,17,14,6,14
46,No,Travel_Frequently,567,Research & Development,22,4,Human Resources,1,252,3,Female,93,3,1,Sales Executive,1,Single,9760,25740,9,Yes,Y,18,3,4,3,5,5,1,5,8,1,11
51,Yes,Travel_Rarely,1423,Human Resources,13,4,Technical Degree,1,253,3,Female,41,2,4,Human Resources,4,Single,10243,6883,5,No,Y,23,3,1,1,26,6,1,5,6,1,7
59,No,Travel_Frequently,1138,Research & Development,11,3,Other,1,254,1,Female,33,4,4,Sales Executive,2,Married,8518,19788,9,Yes,Y,24,3,4,3,37,6,4,14,11,5,2
40,No,Travel_Frequently,673,Sales,10,2,Medical,1,255,1,Female,35,2,5,Research Scientist,1,Married,8525,22458,0,Yes,Y,10,3,1,1,13,0,1,8,12,0,8
46,No,Non-Travel,1163,Human Resources,19,5,Other,1,256,2,Female,42,1,2,Manager,1,Divorced,2310,10165,2,No,Y,20,3,4,3,4,2,1,17,12,4,6
22,Yes,Travel_Frequently,924,Research & Development,26,5,Other,1,257,4,Female,99,3,5,Laboratory Technician,3,Divorced,6059,23654,9,Yes,Y,18,3,2,0,37,2,3,14,2,8,3
45,No,Non-Travel,749,Sales,16,1,Human Resources,1,258,4,Male,51,3,2,Healthcare Representative,2,Married,15946,3615,9,Yes,Y,19,3,4,1,36,5,1,7,3,7,11
51,No,Travel_Frequently,216,Research & Development,12,2,Marketing,1,259,1,Male,49,3,3,Sales Executive,3,Divorced,3564,12249,5,No,Y,11,3,1,0,3,6,3,12,11,7,2
52,No,Travel_Frequently,655,Research & Development,5,1,Other,1,260,1,Female,31,1,4,Manufacturing Director,3,Divorced,8359,20148,3,No,Y,24,4,2,2,23,3,4,2,8,6,10
50,No,Non-Travel,414,Sales,1,2,Other,1,261,3,Female,37,1,2,Manufacturing Director,4,Divorced,6336,25136,1,Yes,Y,13,3,2,2,36,5,3,5,12,1,5
39,Yes,Travel_Rarely,343,Sales,7,1,Technical Degree,1,262,3,Male,58,4,1,Research Scientist,3,Single,4779,15433,9,No,Y,11,3,2,3,19,0,1,18,12,2,6
33,No,Travel_Rarely,587,Research & Development,23,2,Life Sciences,1,263,4,Male,75,2,5,Sales Executive,2,Single,3548,6929,7,No,Y,21,3,2,3,19,1,3,4,2,0,5
45,No,Travel_Frequently,604,Research & Development,13,5,Other,1,264,2,Male,92,3,5,Human Resources,1,Married,5127,16326,6,Yes,Y,17,4,2,0,38,1,4,7,3,8,14
21,No,Travel_Frequently,955,Human Resources,3,2,Technical Degree,1,265,3,Female,68,1,4,Laboratory Technician,3,Married,7319,19624,5,Yes,Y,22,3,2,0,33,2,1,8,8,8,10
42,No,Travel_Rarely,1426,Human Resources,7,1,Medical,1,266,4,Male,82,3,2,Sales Executive,3,Married,6456,22176,8,Yes,Y,21,3,3,3,24,4,2,8,13,4,14
51,No,Non-Travel,566,Human Resources,29,2,Other,1,267,1,Female,73,2,1,Manufacturing Director,4,Married,5390,25372,5,No,Y,14,3,1,1,28,0,3,16,7,7,0
18,No,Travel_Frequently,566,Research & Development,23,2,Other,1,268,2,Male,84,2,2,Manager,1,Married,6982,16267,7,No,Y,23,4,1,3,20,0,3,18,8,7,1
54,No,Travel_Frequently,881,Human Resources,24,4,Medical,1,269,1,Female,57,1,3,Manager,1,Married,16104,15988,8,Yes,Y,21,3,4,0,12,5,1,7,7,5,7
35,No,Non-Travel,1306,Sales,15,2,Life Sciences,1,270,4,Male,86,3,3,Research Scientist,1,Married,8291,27349,8,Yes,Y,13,3,1,0,39,1,3,8,9,8,1
43,No,Non-Travel,129,Sales,4,1,Marketing,1,271,4,Male,49,3,2,Manager,3,Divorced,2507,7590,4,Yes,Y,17,3,4,1,25,1,2,10,13,4,1
45,Yes,Travel_Frequently,1083,Sales,10,2,Technical Degree,1,272,4,Male,44,3,5,Sales Executive,2,Single,19693,14388,9,No,Y,22,3,4,3,1,6,4,15,7,2,3
51,Yes,Travel_Frequently,779,Research & Development,5,1,Human Resources,1,273,3,Female,44,2,1,Human Resources,3,Divorced,3701,18728,4,Yes,Y,17,3,2,3,21,1,4,13,5,7,9
57,Yes,Travel_Frequently,1434,Research & Development,15,2,Medical,1,274,4,Female,99,3,4,Healthcare Representative,1,Divorced,2928,12201,0,No,Y,21,3,1,3,34,2,1,7,14,2,14
44,No,Travel_Frequently,1087,Sales,12,3,Medical,1,275,4,Female,61,1,2,Manager,4,Married,14548,16683,1,Yes,Y,23,3,1,1,3,5,1,5,6,9,9
29,No,Non-Travel,1073,Human Resources,16,2,Medical,1,276,3,Male,39,4,5,Human Resources,4,Married,18701,10779,2,Yes,Y,21,3,1,1,20,6,4,12,5,6,7
58,No,Travel_Frequently,488,Human Resources,6,4,Life Sciences,1,277,2,Male,56,4,1,Manager,2,Single,19415,20191,8,Yes,Y,15,3,4,0,23,4,2,14,7,4,13
44,No,Travel_Rarely,1194,Sales,23,5,Marketing,1,278,1,Male,42,3,1,Research Scientist,1,Divorced,17315,18174,9,Yes,Y,11,3,2,0,32,2,2,1,11,0,5
25,No,Non-Travel,1339,Sales,4,2,Human Resources,1,279,1,Female,66,1,2,Healthcare Representative,1,Divorced,10529,26366,1,Yes,Y,14,3,4,0,0,5,4,11,5,3,4
56,No,Non-Travel,385,Sales,29,1,Life Sciences,1,280,2,Female,85,2,1,Healthcare Representative,4,Married,7893,17493,0,No,Y,21,3,1,2,0,6,3,16,14,6,3
41,No,Travel_Rarely,573,Human Resources,4,4,Human Resources,1,281,3,Female,78,4,3,Laboratory Technician,2,Divorced,18513,10481,7,Yes,Y,19,3,4,3,25,2,4,13,11,6,13
39,Yes,Travel_Frequently,1484,Sales,5,4,Human Resources,1,282,3,Male,35,3,5,Sales Executive,3,Single,4756,7555,6,Yes,Y,11,3,1,1,23,1,2,16,5,9,6
31,No,Travel_Rarely,801,Human Resources,16,1,Life Sciences,1,283,1,Male,70,4,2,Research Scientist,2,Divorced,5873,16459,9,No,Y,19,3,4,0,15,5,3,18,4,9,8
46,No,Non-Travel,1101,Sales,3,2,Technical Degree,1,284,2,Female,30,3,4,Manager,2,Single,19220,13034,4,No,Y,19,4,4,1,30,3,3,8,10,6,3
29,No,Non-Travel,252,Sales,16,2,Medical,1,285,4,Female,65,1,4,Healthcare Representative,2,Married,8773,20256,6,No,Y,21,4,2,3,31,5,4,16,1,3,6
57,Yes,Travel_Frequently,1454,Human Resources,24,4,Technical Degree,1,286,2,Female,96,2,5,Research Scientist,2,Married,17000,13927,0,Yes,Y,17,3,4,2,34,6,2,17,7,1,13
27,No,Travel_Frequently,1026,Human Resources,14,5,Human Resources,1,287,1,Female,69,1,3,Healthcare Representative,4,Single,18358,24551,2,Yes,Y,23,3,2,1,20,2,1,19,2,0,14
29,No,Travel_Frequently,1091,Sales,21,1,Medical,1,288,4,Male,31,2,3,Laboratory Technician,1,Single,7686,4113,5,Yes,Y,19,3,3,0,7,0,4,11,1,8,10
55,No,Non-Travel,1016,Human Resources,4,1,Medical,1,289,3,Male,83,4,1,Manager,3,Divorced,15693,19334,2,No,Y,19,3,4,1,31,3,4,14,14,5,5
29,No,Travel_Rarely,661,Human Resources,20,3,Technical Degree,1,290,4,Female,66,3,5,Manager,3,Single,15314,13436,5,Yes,Y,10,4,3,3,34,0,1,14,10,7,8
34,No,Travel_Rarely,1056,Sales,8,5,Other,1,291,2,Male,31,1,2,Sales Executive,4,Married,18147,24131,6,No,Y,11,3,3,2,26,4,2,17,5,7,2
